user_id,timestamp,dataset_source,hour,day_of_week,month,day_of_month,IsOutsideWorkHours,IsWeekend,NightShift,source_tracker,source_staff,frekuensi_aktivitas_per_user,frekuensi_per_user_per_source,pola_waktu_akses,rasio_weekend_per_user,rasio_outside_hours_per_user
7,2025-01-02 14:16:44,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
1,2025-01-02 14:17:08,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
1,2025-01-02 14:17:14,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
9,2025-01-02 14:18:41,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
7,2025-01-02 14:18:58,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
9,2025-01-02 14:19:02,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
8,2025-01-02 14:19:16,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
9,2025-01-02 14:19:20,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
7,2025-01-02 14:19:27,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:19:31,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
1,2025-01-02 14:19:48,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
9,2025-01-02 14:19:52,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
9,2025-01-02 14:21:33,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
9,2025-01-02 14:22:04,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
9,2025-01-02 14:22:19,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
1,2025-01-02 14:22:21,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
9,2025-01-02 14:23:30,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
9,2025-01-02 14:23:33,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
9,2025-01-02 14:23:44,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
